song,category,original_artist,wiki_url,youtube_url
"Bekol Haolam","קטגוריה:Hapoel Songs in Foreign Languages","Michale Jackson","https://wiki.red-fans.com/index.php?title=Bekol_Haolam","https://www.youtube.com/watch?v=o8rYl6K2STc"
"Ech Hakahal Be atraf","קטגוריה:Hapoel Songs in Foreign Languages","","https://wiki.red-fans.com/index.php?title=Ech_Hakahal_Be_atraf","https://www.youtube.com/watch?v=u10ciReA1TE"
"Hapoel Ani Eten Hakol Bishvilech","קטגוריה:Hapoel Songs in Foreign Languages","","https://wiki.red-fans.com/index.php?title=Hapoel_Ani_Eten_Hakol_Bishvilech","https://www.youtube.com/watch?v=01SBf0tsLyI"
"Hapoel Kamoch Ein Af Achat","קטגוריה:Hapoel Songs in Foreign Languages","","https://wiki.red-fans.com/index.php?title=Hapoel_Kamoch_Ein_Af_Achat","https://www.youtube.com/watch?v=9G75tH2wfvQ"
"Ksche At Ola La Migrasch","קטגוריה:Hapoel Songs in Foreign Languages","Boca Juniors","https://wiki.red-fans.com/index.php?title=Ksche_At_Ola_La_Migrasch","https://www.youtube.com/watch?v=QcDTFujnR5k"
"Ksche At Ola La Migrasch","קטגוריה:Hapoel Songs in Foreign Languages","Boca Juniors","https://wiki.red-fans.com/index.php?title=Ksche_At_Ola_La_Migrasch","https://www.youtube.com/watch?v=58lN67LfJpw"
"Miyom Schenoladeti Rak Davar Ehad","קטגוריה:Hapoel Songs in Foreign Languages","","https://wiki.red-fans.com/index.php?title=Miyom_Schenoladeti_Rak_Davar_Ehad","https://www.youtube.com/watch?v=MqHkuHy39eA"
"Tiru Hapoel Hine Ma Sche Sikamnu","קטגוריה:Hapoel Songs in Foreign Languages","River Plate","https://wiki.red-fans.com/index.php?title=Tiru_Hapoel_Hine_Ma_Sche_Sikamnu","https://www.youtube.com/watch?v=W9JsiXD_cXY"
"Call Me-יורגן קולין","קטגוריה:שירי שחקנים","להקת בלונדי","https://wiki.red-fans.com/index.php?title=Call_Me-יורגן_קולין","https://www.youtube.com/watch?v=y6QBaZHltJw"
"Creep - Radiohead - דניאל דה רידר","קטגוריה:שירי שחקנים","רדיוהד","https://wiki.red-fans.com/index.php?title=Creep_-_Radiohead_-_דניאל_דה_רידר","https://www.youtube.com/watch?v=XFkzRNyygfk"
"Elle etait si jolie-עומר פדידה","קטגוריה:שירי שחקנים","אלין ברייר","https://wiki.red-fans.com/index.php?title=Elle_etait_si_jolie-עומר_פדידה","https://www.youtube.com/watch?v=FLxAoSnkaw8"
"I'm Mr Lonely-רמזי ספורי","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=I'm_Mr_Lonely-רמזי_ספורי","https://www.youtube.com/watch?v=kGhjOPeOMmE"
"Let the sunshine in - אבי כנפו, אורי שלף","קטגוריה:שירי שחקנים","השיר מתוך הסרט ""שיער","https://wiki.red-fans.com/index.php?title=Let_the_sunshine_in_-_אבי_כנפו,_אורי_שלף","https://www.youtube.com/watch?v=fhNrqc6yvTU"
"South Africa-ישראל זגורי","קטגוריה:שירי שחקנים","שאקירה","https://wiki.red-fans.com/index.php?title=South_Africa-ישראל_זגורי","https://www.youtube.com/watch?v=BgyJY9yndv4"
"Under The Sea-אוראל דגני","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=Under_The_Sea-אוראל_דגני","https://www.youtube.com/watch?v=5qOFS-6Zt9E"
"Volare - סלים טועמה","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=Volare_-_סלים_טועמה","https://www.youtube.com/watch?v=Z-DVi0ugelc"
"אני שוב מתאהב- איליה יבוריאן, ניר גלאון, נייט רובינסון","קטגוריה:שירי שחקנים","גידי גוב","https://wiki.red-fans.com/index.php?title=אני_שוב_מתאהב-_איליה_יבוריאן,_ניר_גלאון,_נייט_רובינסון","https://www.youtube.com/watch?v=qoGurrdtz6Q"
"במדינת הגמדים - מהראן לאלה","קטגוריה:שירי שחקנים","אריק אינשטיין","https://wiki.red-fans.com/index.php?title=במדינת_הגמדים_-_מהראן_לאלה","https://www.youtube.com/watch?v=8MHaLysJSko"
"גן השקמים - בן סהר","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=גן_השקמים_-_בן_סהר","https://www.youtube.com/watch?v=EY1vvILEHvM"
"דנבר הדינוזאור האחרון-ברנקו איליץ","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=דנבר_הדינוזאור_האחרון-ברנקו_איליץ","https://www.youtube.com/watch?v=TQk8vbwccBQ"
"השפן הקטן-לוקאש סאשה","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=השפן_הקטן-לוקאש_סאשה","https://www.youtube.com/watch?v=7cWW7_bBmbU"
"חלומות - פאביו ג'וניור","קטגוריה:שירי שחקנים","אייל גולן","https://wiki.red-fans.com/index.php?title=חלומות_-_פאביו_ג'וניור","https://www.youtube.com/watch?v=ofa-ehYZbwQ"
"כפיים-ריף מסיקה","קטגוריה:שירי שחקנים","יהודה פוליקר","https://wiki.red-fans.com/index.php?title=כפיים-ריף_מסיקה","https://www.youtube.com/watch?v=sFdSCsTkU1s"
