song,category,wiki_url,youtube_url
"Achschav Likfoz Kmo Cholim","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Achschav_Likfoz_Kmo_Cholim",""
"Bekol Haolam","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Bekol_Haolam","https://www.youtube.com/watch?v=HucZbDTtKPw"
"Bekol Haolam","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Bekol_Haolam","https://www.youtube.com/watch?v=PGMEwIJcbTs"
"Bekol Haolam","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Bekol_Haolam","https://www.youtube.com/watch?v=o8rYl6K2STc"
"Ech Hakahal Be atraf","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Ech_Hakahal_Be_atraf","https://www.youtube.com/watch?v=7VnHuMrntf8"
"Ech Hakahal Be atraf","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Ech_Hakahal_Be_atraf","https://www.youtube.com/watch?v=u10ciReA1TE"
"Elech Itach Le Kol Makom","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Elech_Itach_Le_Kol_Makom","https://www.youtube.com/watch?v=qPZRwQFP2pk"
"Elech Itach Le Kol Makom","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Elech_Itach_Le_Kol_Makom","https://www.youtube.com/watch?v=Ph38kOL6IVc"
"Hapoel Ani Eten Hakol Bishvilech","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Hapoel_Ani_Eten_Hakol_Bishvilech","https://www.youtube.com/watch?v=osQy00daOPY"
"Hapoel Ani Eten Hakol Bishvilech","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Hapoel_Ani_Eten_Hakol_Bishvilech","https://www.youtube.com/watch?v=01SBf0tsLyI"
"Hapoel Kamoch Ein Af Achat","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Hapoel_Kamoch_Ein_Af_Achat","https://www.youtube.com/watch?v=9G75tH2wfvQ"
"Hapoel Kamoch Ein Af Achat","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Hapoel_Kamoch_Ein_Af_Achat","https://www.youtube.com/watch?v=bV7VTeFrXu0"
"Hapoel Se Hachaim","קטגוריה:Hapoel Songs in Foreign Languages","https://wiki.red-fans.com/index.php?title=Hapoel_Se_Hachaim","https://www.youtube.com/watch?v=NvLG1zBzLrs"
